"CastID","CastFilmID","CastActorID","CastCharacterName"
"394","73","36","Elrond"
"395","73","186","Frodo Baggins"
"396","73","85","Saruman"
"397","74","182","Galadriel"
"398","74","63","Legolas Greenleaf"
"399","74","85","Saruman"
"400","74","132","Gandalf the White"
"401","74","185","Aragorn"
"402","74","13","Gollum"
"403","74","100","Arwen"
"404","74","213","Eomer"
"405","73","213","Eomer"
"406","74","36","Elrond"
"407","74","186","Frodo Baggins"
"408","74","212","Boromir"
"409","75","172","Chief Inspector Lee"
"410","75","211","Detective James Carter"
"411","75","190","Varden Reynard"
"412","75","140","Kenji"
"413","76","172","Chief Inspector Lee"
"414","76","211","Detective James Carter"
"415","76","175","Girl in Car"
"416","76","170","Kenny"
"417","77","105","Agent Kay"
"418","77","68","Agent Jay"
"419","77","60","Zed"
"420","77","214","Dr. Laurel Weaver"
"421","78","17","William M. 'Billy' Costigan Jr."
"422","78","121","Colin"
"423","78","215","Costello"
"424","78","144","Dignam"
"425","78","216","Queenan"
"426","78","52","Mr. French"
"427","78","30","Ellerby"
"428","79","98","John McClane"
"429","79","179","Simon Gruber"
"430","79","6","Zeus Carver"
"431","80","117","Jim Braddock"
"432","80","56","Mae Braddock"
"433","80","217","Joe Gould"
"434","80","124","Mike Wilson"
"435","81","121","Jason Bourne"
"436","81","73","Ward Abbott"
"437","81","122","Nicky Parsons"
"438","81","213","Kirill"
"439","81","149","Kim"
"440","82","174","Jack Slater"
"441","82","218","John Practice"
"442","82","132","Death"
"443","82","219","Benedict"
"444","83","130","Chuck Noland"
"445","84","75","Rusty Ryan"
"446","84","221","Isabel Lahiri"
"447","84","143","Danny Ocean"
"448","84","169","Tess Ocean"
"449","84","168","Terry Benedict"
"450","84","170","Basher Tarr"
"451","84","121","Linus Caldwell"
"452","84","167","Reuben Tishkoff"
"453","84","125","Gaspar LeMarque"
"454","85","222","Michael Newman"
"455","85","27","Donna Newman"
"456","85","223","Morty"
"457","85","224","Ammer"
"458","85","225","Ted Newman"
"459","86","226","Bruce Nolan"
"460","86","22","God"
"461","86","227","Grace Connelly"
"462","86","21","Evan Baxter"
"463","87","1","Ethan Hunt"
"464","87","29","Jim Phelps"
"465","87","228","Claire Phelps"
"466","87","133","Franz Krieger"
"467","87","108","Luther Stickell"
"468","87","232","Max"
"469","88","229","Captain Spurgeon 'Fish' Tanner"
"470","88","230","Jenny Lerner"
"471","88","186","Leo Beiderman"
"472","88","232","Robin Lerner"
"473","88","22","President Tom Beck"
"474","88","187","Alan Rittenhouse"
"475","88","231","Dr. Gus Partenza"
"476","89","130","Michael Sullivan"
"477","89","233","John Rooney"
"478","89","189","Connor Rooney"
"479","89","112","Finn McGovern"
"480","89","183","Harlen Maguire"
"481","89","234","Frank Nitti"
"482","90","117","John Nash"
"483","90","235","Parcher"
"484","90","197","Alicia Nash"
"485","90","236","Dr. Rosen"
"486","90","118","Charles"
"487","91","79","Jasper"
"488","91","237","Theo Faron"
"489","92","77","Avner"
"490","92","189","Steve"
"491","92","112","Carl"
"492","92","62","Ephraim"
"493","93","68","Captain Steven Hiller"
"494","93","238","President Thomas J. Whitmore"
"495","93","4","David Levinson"
"496","93","239","First Lady Marilyn Whitmore"
"497","93","240","Russell Casse"
"498","93","184","Dr. Brackish Okun"
"499","94","241","Wolverine"
"500","94","242","Professor Charles Xavier"
"501","94","132","Magneto"
"502","94","243","Jean Grey"
"503","94","87","Storm"
"504","94","162","Toad"
"505","95","242","Professor Charles Xavier"
"506","95","241","Wolverine"
"507","95","132","Magneto"
"508","95","87","Storm"
"509","95","243","Jean Grey"
"510","95","73","William Stryker"
"511","96","244","John Patrick Mason"
"512","96","151","Dr. Stanley Goodspeed"
"513","96","235","Brigadier General Francis X. Hummel"
"514","96","245","Commander Anderson"
"515","97","129","John Constantine"
"516","97","246","Angela Dodson"
"517","97","33","Chas Kramer"
"518","97","196","Midnite"
"519","97","104","Satan"
"520","98","98","David Dunn"
"521","98","6","Elijah Price"
"522","98","49","Audrey Dunn"
"523","99","103","Lucius Washington"
"524","99","247","Ricky Bobby"
"525","99","145","Cal Naughton, Jr."
"526","99","248","Jean Girard"
"527","100","249","Homer"
"528","100","251","Bart"
"529","100","250","Marge"
"530","100","252","Lisa"
"531","101","93","William Wallace"
"532","101","73","Argyle Wallace"
"533","101","253","King Edward I"
"534","101","113","Princess Isabelle"
"535","101","40","Hamish Campbell"
"536","102","138","Anthony Swofford"
"537","102","106","Staff Sergeant Sykes"
"538","103","199","Lucius Hunt"
"539","103","12","Noah Percy"
"540","103","254","Edward Walker"
"541","103","255","Alice Hunt"
"542","103","40","August Nicholson"
"543","104","256","Shrek"
"544","104","257","Donkey"
"545","104","258","Puss in Boots"
"546","104","90","King"
"547","105","256","Shrek"
"548","105","257","Donkey"
"549","105","258","Puss in Boots"
"550","105","90","King"
"551","105","209","Princess Fiona"
"552","104","209","Princess Fiona"
"553","106","235","Virgil 'Bud' Brigman"
"554","106","146","Lindsey Brigman"
"555","106","245","Lt. Hiram Coffey"
"556","107","242","Captain Jean-Luc Picard"
"557","107","259","Commander William T. Riker"
"558","107","184","Lt. Commander Data"
"559","107","260","Lt. Commander Geordi La Forge"
"560","107","261","Lt. Commander Worf"
"561","107","262","Dr. Beverly Crusher"
"562","107","263","Commander Deanna Troi"
"563","107","218","Ad'har Ru'afo"
"564","108","264","Eddie Valiant"
"565","108","265","Judge Doom"
"566","108","266","Jessica Rabbit"
"567","108","251","Dipped Shoe"
"568","109","61","Ichabod Crane"
"569","109","267","Katrina Van Tassel"
"570","109","42","Baltus Van Tassel"
"571","109","157","Doctor Lancaster"
"572","109","223","Hessian Horseman"
"573","109","85","Burgomaster"
"574","110","268","Xander Cage"
"575","110","6","Agent Augustus Gibbons"
"576","111","98","John McClane"
"577","111","270","Holly McClane"
"578","111","269","Colonel Stuart"
"579","111","193","O'Reilly"
"580","112","271","Samantha Caine"
"581","112","6","Mitch Henessey"
"582","112","73","Dr. Nathan Waldman"
"583","113","130","Jim Lovell"
"584","113","20","Fred Haise"
"585","113","272","Jack Swigert"
"586","113","273","Ken Mattingly"
"587","113","235","Gene Kranz"
"588","114","130","Captain John H. Miller"
"589","114","31","Sergeant Mike Horvath"
"590","114","268","Private Adrian Caparzo"
"591","114","121","Private James Francis Ryan"
"592","114","217","Sergeant Hill"
"593","115","180","The Narrator"
"594","115","75","Tyler Durden"
"595","115","45","Marla Singer"
"596","116","129","Neo"
"597","116","128","Trinity"
"598","116","127","Morpheus"
"599","116","36","Agent Smith"
"600","117","174","Douglas Quaid"
"601","64","274","Laurel Hedare"
"602","82","274","Catherine Tramell"
"603","117","274","Lori"
"604","117","147","Richter"
"605","118","275","Gabe Walker"
"606","118","276","Eric Qualen"
"607","118","277","Hal Tucker"
"608","119","278","Jack Ryan"
"609","119","8","John Clark"
"610","120","86","James Bond"
"611","120","212","Alec Trevelyan"
"612","120","243","Xenia Zirgavna Onatopp"
"613","120","166","Jack Wade"
"614","120","89","M"
"615","120","116","Q"
"616","120","92","Miss Moneypenny"
"617","121","26","Dwight 'Bucky' Bleichert"
"618","121","279","Kay Lake"
"619","121","280","Madeleine Linscott"
"620","122","226","Truman Burbank"
"621","122","235","Christof"
"622","122","217","Control Room Director"
"623","123","127","Captain Miller"
"624","123","2","Dr. William Weir"
"625","123","281","Peters, Med Tech"
"626","113","281","Marilyn Lovell"
"627","123","282","Lt. Starck"
"628","123","283","Smith"
"629","124","121","Jason Bourne"
"630","124","237","The Professor"
"631","124","73","Ward Abbott"
"632","124","122","Nicky Parsons"
"633","125","284","Hellboy"
"634","125","136","Trevor 'Broom' Bruttenholm"
"635","125","285","Liz Sherman"
"637","126","102","Ken Hutchinson"
